price,comment,shopname,URL,title,pnglink
6199.00,"
								 5000+",华为礼象专卖店,https://item.jd.com/10100881427943.html,华为pura70pro 新品手机上市 羽砂黑 12GB+512GB 官方标配,https://img13.360buyimg.com/n7/jfs/t1/244650/16/7724/38723/6620b1a4F41de9fb4/512ac9033c9123ef.jpg
6199.00,"
								 10万+",华为京东自营官方旗舰店,https://item.jd.com/100107613718.html,HUAWEI Pura 70 Pro 雪域白 12GB+512GB 超高速风驰闪拍 超聚光微距长焦 华为P70智能手机|华为大额券,https://img13.360buyimg.com/n7/jfs/t1/183205/22/49530/49423/67161649F69b0589d/307eff43f75e7dc2.jpg
7199.00,"
								 10万+",华为京东自营官方旗舰店,https://item.jd.com/100107613744.html,HUAWEI Pura 70 Pro+ 魅影黑 16GB+512GB 超高速风驰闪拍 超聚光微距长焦华为P70智能手机|华为大额券,https://img14.360buyimg.com/n7/jfs/t1/131600/8/48572/55252/67161643F3535b089/ca97fd4a6342dcee.jpg
5899.00,"
								 500+",运营商京东自营专区,https://item.jd.com/100107024194.html,华为（HUAWEI）华为HUAWEI Pura 70 Pro 雪域白 12GB+512GB  华为P70手机,https://img14.360buyimg.com/n7/jfs/t1/165810/29/49519/44841/670f9470F5ea1f597/a0a945d545513105.jpg
6499.00,"
								 5000+",None,https://item.jd.com/100109019158.html,华为Pura 70 Pro+ 光织银 16GB 512GB 超聚光微距长焦 双卫星通信 P70智能手机【赠服务】,https://img13.360buyimg.com/n7/jfs/t1/26970/4/22146/38575/66bdbc0dF6ffeae90/ef6e2a6d9a75098b.jpg
6199.00,"
								 200+",零疆旗舰店,https://item.jd.com/10101489136710.html,华为Pura70pro 新品手机 华为p70pro旗舰手机 雪域白 12GB+512GB 官方标配,https://img10.360buyimg.com/n7/jfs/t1/3905/33/26817/59259/66e5439aF104d97e5/a56255fe14183fa3.jpg
6199.00,"
								 2000+",京联通达旗舰店,https://item.jd.com/10101253672823.html,"爱心东东
华为pura70Pro 新品手机【现货速发】 华为p70系列智能手机 羽砂黑 12GB+512G",https://img13.360buyimg.com/n7/jfs/t1/134142/21/45332/38461/66e2a552Fb2130f32/a8866c8520d86a63.jpg
6199.00,"
								 200+",京联数科旗舰店,https://item.jd.com/10116646495963.html,"爱心东东
华为 Pura 70 Pro【现货速发】新品旗舰手机华为p70系列 羽砂黑 12GB+512GB 官方标配",https://img13.360buyimg.com/n7/jfs/t1/63722/18/26386/55695/66bb29ffF01fb73d6/7a0852b11f9f17ee.jpg
6549.00,"
								 1000+",智能手机经营部,https://item.jd.com/10109871670234.html,华为HUAWEI Pura P70Pro P70系列智能手机 华为2024上市 新款华为旗舰 P70 Pro 雪域白 12+512 全国联保激活,https://img14.360buyimg.com/n7/jfs/t1/17298/27/22162/22216/669f4049F90dd5fb9/7f9747e2b9a68ffc.jpg
7161.00,"
								 64",华耀手机经营部,https://item.jd.com/10101876552917.html,HUAWEI Pura 70 Pro+ 超聚光微距长焦 双卫星通信 华为P70手机 魅影黑 16+512GB 官方标配,https://img12.360buyimg.com/n7/jfs/t1/239242/29/7950/44367/6628771dFfa7c0a4d/af89e990aa44fd10.jpg
5999.00,"
								 200+",中企手机专卖店,https://item.jd.com/10106555235252.html,"爱心东东
华为pura70pro【24期|免息】新品华为p70pro手机新机2024上市北斗卫星消息鸿蒙系统HarmonyOS 雪域白12+256G 官方标配",https://img12.360buyimg.com/n7/jfs/t1/70073/1/26444/121754/66b895f1Fe8228ccb/4e22a819c323498f.jpg
5199.00,"
								 2000+",None,https://item.jd.com/100096453749.html,华为Pura 70 Pro 羽砂黑 12GB 256GB 超聚光微距长焦 P70智能手机【赠服务】,https://img14.360buyimg.com/n7/jfs/t1/168538/29/32003/35556/66bdba4fFf6890aca/b250c0788eb5ca39.jpg
5358.84,"
								 100+",京域优数码拼购店,https://item.jd.com/10116844238556.html,华为（HUAWEI） Pura 70 Pro 超高速风驰闪拍 超聚光微距长焦 华为P70智能手机 羽砂黑 12GB+256GB,https://img11.360buyimg.com/n7/jfs/t1/186895/4/44590/87292/665ef728Fcc3e21b2/cf5a63ab981b4246.jpg
7199.00,"
								 200+",京联数科旗舰店,https://item.jd.com/10109052069690.html,"爱心东东
HUAWEI【24期|免息】华为pura70pro+ 新品旗舰手机华为p70 purap70pro+新品上市现货速发 魅影黑  16GB+512GB 免息套装12期",https://img10.360buyimg.com/n7/jfs/t1/232592/14/24128/55515/66bb2ad9F3cd22208/939d2259f0a1af3d.jpg
5699.00,"
								 5000+",炜东电商旗舰店,https://item.jd.com/10110580843989.html,"爱心东东
华为pura70pro 新品手机 华为p70旗舰手机上市 羽砂黑 12+256G全网通",https://img14.360buyimg.com/n7/jfs/t1/163287/33/45233/38328/6642b95dF2d784739/b8f5c5c5ba5f17f8.jpg
